Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
68,"Pelicans, Gannets, Frigatebirds",Australian Pelican,Pelecanus conspicillatus,160cm-180cm; span 2.3-2.5m,"in display or squabbling, deep resonant croaks and guttural grunting.",
68,"Pelicans, Gannets, Frigatebirds",Cape Gannet,Morus capensis,85-92cm; span 1.7-1.8m,NA,
68,"Pelicans, Gannets, Frigatebirds",Australasian Gannet,Morus serrator,85-90cm; span 1.7-1.9m,"noisy in colonies; raucous , sharp squawks intermingled with deep, barked ""rragh-urragh"".",
68,"Pelicans, Gannets, Frigatebirds",Great Frigatebird,Fregata minor,85-105cm; span 2.1-2.3m,"usually silent in flight; when landing at nest, male gives a repetitive, yelping ""tjiew-tjiew-""; from nest, call a braying ""wah-hoo-hoo-hoo"".",
68,"Pelicans, Gannets, Frigatebirds",Lesser Frigatebird,Fregata ariel,70-80cm; span 1.8-1.9m,"both sexes give landing calls  --  the male a whistled ""wheees-wheees-"", the female a high ""chip-ah, chip-ah"" followed by sharp shrieks.",
68,"Pelicans, Gannets, Frigatebirds",Christmas Frigatebird,Fregata andrewsi,90cm-100cm; span 2.1-2.3m,"calls restricted to vicinity of nests in breeding season. Male has a landing call, a descending ""i-eer, i-eer""; female a squeaky chatter.",
70,Egrets,Great Egret,Ardea alba,85cm-105cm,"alarmed, taking flight, low, hollow croaking ""rgh-argh-arrgh-aargh"". Disturbed at nest, abrupt guttural croaks, ""grok-grok-grok-grok-grok"". Greeting call on landing at nest, a slow succession of deep, hollow, rasping croaks, ""gor-rork, grok-gro-grkgrok"", fading.",
70,Egrets,Intermediate Egret,Ardea intermedia,55-70cm,"least vocal of the white egrets; silent away from colony. If startled at nest, alarm call is a hollow croak, ""glok-glok-glok""; if threatened, a loud, throaty ""kroooo-krooo"". Greeting at nest is a soft, rasping croak, ""grrrawk-grrrawk"".",
70,Egrets,Cattle Egret,Ardea ibis,48-53cm,"in colonies, a very deep croak, ""krok, krok"", and aggessive, harsh, ""krow"".",
70,Egrets,Little Egret,Ardea (Egretta) garzetta,55-65cm,"silent away from colonies except for a croak of alarm. Noisy when breeding; harsh croaking ""argk-argk-argk"", squawked ""kiaw"", ""kurik-kurik"", gurgling sounds.",
70,Egrets,Eastern Reef Egret,Ardea (Egrett) sacra,60-65cm,"gives a harsh, abrupt ""yowk, yowk"" in alarm. At nest during courtship, a deep, abrupt, guttural, frog-like ""yrok, yroak"" or ""yok-yok"".",
72,"Herons, Night Heron",Great-billed Heron,Ardea sumatrana,100-110cm,"a slow, hollow, drawn out, croaking ""a-arr-argk"". Also attributed with a deep, rumbling 'bull-roar' or 'crocodile roar', usually at night.","bull-roar, crocodile roar"
72,"Herons, Night Heron",White-faced Heron,Ardea novaehollandiae,66-69cm,"calls at nest, in flight, landing at roost, in courtship flights, and in contact or alarm. Various croaking, grunting sounds: ""urrk-urrk-urrk""; ""arrrgh, arrrgh, arrrgh""; ""graaow""; grunted ""urgk-urg-urgh"".",
72,"Herons, Night Heron",Grey Heron,Ardea cinera,75-100cm,"deep croaking, harsh, barked ""kraak"".",
72,"Herons, Night Heron",White-necked Heron,Ardea pacifica,75-105cm,"a loud single or double croak in alarm or flight: ""argh, aarrgh"". At nest gives a deep, loud ""oomph!"", a raucous cackle at changeover.",
72,"Herons, Night Heron",Pied Heron,Ardea picata,43-52cm,"in flight, an abrupt, deep, rough croak, ""orrrk!"", given as alarm or when feeding in groups; at nest, soft cooing.",
72,"Herons, Night Heron",Rufous (Nankeen) Night Heron,Nycticorax caledonicus,55-65cm,"harsh croak if disturbed feeding at night or flushed from nest; also on arrival and departure from roosts or wetland feeding sites at night. The alarm is a hoarse, but not deep, croak, ""ow-uk"" or ""qwu-ok""; at roost and nest a more abrupt, nasal ""auk-auk-ak"".",
74,"Striated Heron, Bitterns",Striated Heron,Butorides striatus,45-50cm,"in courtship display, a scratchy sneeze-like ""tsch-aar"" and abrupt, loud ""hooh!"". If flushed or disturbed at nest, squawks loudly; stays in vicinity making ""chuk-chuk-"" cluckings. At other times of year, silent unless alarmed or flushed; harsh, scratchy screech, ""tchew-chit-chit"".",
74,"Striated Heron, Bitterns",Black Bittern,Ixobrychus flavicollis,55-65cm,"presence may be revealed by loud, deep, drawn out, boomig ""whOOOm, whOOm"" at intervals of 10-20 sec; often answered by similar calls from a distance. Also soft moaning sounds, soft, low hissing, and a repetitive ""e-eh, e-eh"" at the nest.",
74,"Striated Heron, Bitterns",Little Bittern,Ixobrychus minutus,25-35cm,"when flushed from nest, a sharp ""cra-aa-ak, khok-kuk-kuk-kuk-"". In breeding season, male has a monotonously repetitive, resonant ""ook-ook-ook-ook-ook-"" or ""corr-orr-orr-orr-"", the notes at 0.5 sec intervals, the sequence lasting about 10 sec. At the nest, female gives soft crooning sounds.",
74,"Striated Heron, Bitterns",Yellow bittern,Ixobrychus sinensis,30-40cm,"deep croak; also possibly a softer ""kak-ak, kak-ak"" in flight.",
74,"Striated Heron, Bitterns",Australasian Bittern,Botaurus poiciloptilus,65-75cm,"in alarm, flushed, an abrupt, harsh ""craaak!"". In spring and summer, usually at night, males give a deep resonant, double noted, booming ""oo-OOM, oo-OOM"", repeatedly; audible more than a kilometre away.",
76,"Spoonbills, Ibises",Royal Spoonbill,Platalea regia,75-80cm,"silent except at nest site when breeding; it gives soft, low grunts, groans and hisses. Also sounds non-vocally in displays: a loud ""whoof"" made by the wings and soft bill-snapping.",
76,"Spoonbills, Ibises",Yellow-billed Spoonbill,Platalea flavipes,75-90cm,"usually silent, but in threat displays gives soft, nasal coughs or grunts, clappers bill.",
76,"Spoonbills, Ibises",Australian White Ibis,Threskiornis molucca,65-75cm,"usually silent but for deep, grunted ""urrrk""; noisy in colonies and when settling to roost  --  deep croaked and grunted honkings.",
76,"Spoonbills, Ibises",Straw-necked Ibis,Threskiornis spinicollis,60-70cm,"croaks when intending to fly; louder if alarmed; repeatedly on take off. During flight, occasional long, harsh croak. When joining flock, announces arrival with rapid series of croaks.",
76,"Spoonbills, Ibises",Glossy Ibis,Plegadis falcinellus,50-54cm,"in flight, occasional deep, grunted croaks; if startled, loud hoarse croaks. In colonies gives grunts and croaks.",
78,"Stork, Cranes",Black-necked Stork,Ephippiorhynchus asiaticus,110cm-13cm; span 1.9-2.2m,"clacking and sharp snap sounds are made with the bill, sometimes the bird gives guttural grunts, usually in threat or dancing displays; there are doubtful reports of booming calls.",
78,"Stork, Cranes",Brolga,Grus rubicunda,80cm-130cm; span 1.7-2.4m,"best known is the loud bugling, given as a duet by a pair; carries far, audible 2km away; often first indication of Brolgas' presence. Stimulates other distant pairs to call. Contact call a low, purring ""grruw""; alarm call, a high ""ga-r-r-oo"". In flight, a hoarse, grating ""graough"".",
78,"Stork, Cranes",Sarus Crane,Grus antigone,120cm-150cm; span to 2.4m,"like call of Brolga, but slightly higher pitch.",
80,"Osprey, Large Kites",Osprey,Pandion haliaetus,male 50cm; female 65cm; span 1.7m,"often silent, but noisy near the nest in breeding season. Usual call is a drawn out, plaintive or peevish whistled ""pee-ieer"", harsh screams and an anxious, sharp ""tchip-tchip"". Alarm calls are harsher, especially when diving at an intruder ear the nest.",
80,"Osprey, Large Kites",Brahminy Kite,Haliastur indus,male 45cm; female 50cm; span 1.2-1.3m,"a high, harsh wheezy, drawn out, descending ""pei-ir-ah"" is mainly heard in spring breeding season. At the nest, harsh, wheezy, whistling sounds.",
80,"Osprey, Large Kites",Black Kite,Nilvus migrans,male 50cm; female 55cm; span 1.2-1.5m,"a plaintive, peevish, descending, quavering ""kwee-ee-ier""; also a sharp, staccato ""kee-ee-ki-ki-ki"".",
82,"Large Kites, Little Eagle",Square-tailed Kite,Lophoictinia isura,50-55cm; span 1.3-1.45m,"loudest is a yelped call, clear, plaintive and rather musical, ""yip-yip-yip-"", rising in pitch to an excited ""yeep-yeep-yeep""; or a hoarse, yelped ""airk-ek-k"". Food begging call by female is a high, whistled ""wheee"" and from male a slightly lower version; female on nest also gives a brief, shrill chittering.",
82,"Large Kites, Little Eagle",Whistling Kite,Haliastur sphenurus,50-60cm; span 1.2-1.5m,"in flight and at nest, a rapid, sharp, penetrating, carrying call; first a drawn out, descending ""peee-arrgh"" followed by a burst of short, sharp, harsh, upward notes, ""ka-ke-ki-ki"". The full call: ""peee-aa-rgh, ka ke-ki-kiki…peee-rrgh, ka ke-ki-ki-ki""; sequence repeated several times. Harsh ""eeargh"" in defending nest; a loud ""kaairr"" as warning near nest. Solitary or gregarious; often at carrion, roadside kills; takes some live prey.",
82,"Large Kites, Little Eagle",Little Eagle,Hieraaetus morpnoides,45-55cm; span 1.1-1.35m,"a musical, yelping whistle in distinctive double or triple note sequence: a very rapid ""chik-a-chuk"" or ""chik-a-chuk-kuk""; the first ""chik"" strong, sharp and high, the ""-a-chuk"" softer, lower, mellow, musical; sometimes a soft low fourth note, ""kuk"", at the end.",
84,"Buzzard, Eagles",Black-breasted Buzzard,Hamirostra Melanosternon,50-60cm; span 1.4-1.55m,"usually silent but quite vocal near nest. On return to nest, excited yelping, ""kyik-kyik-kyik""; as alarm, high, long ""screee"". Also a variety of harsh, scratchy, grating sounds.",
84,"Buzzard, Eagles",Wedge-tailed Eagle,Aquila audax,90cm-110cm; span 1.8-2.5m,"often silent, but vocal in breeding season. Ususally wavering, high, rising whistle leads into a short, lower, descending note, ""tsIET-you, tsIET-you"". Also a hoarse, drawn out yelp that rises to a short, scratchy squeal, and a long scream, perhaps of alarm.",
84,"Buzzard, Eagles",White-bellied Sea-Eagle,Haliaeetus leucogaster,75-85cm; span 1.8-2.2m,"harsh, nasal, carrying, goose-honked ""ank,ak-ak,ank,ak-ak-"" or two birds in chorus  --  a confused, rapid ""ank-ank-arkakak-ank-akakak-ak"".",
84,"Buzzard, Eagles",Gurney's Eagle,Aquila gurneyi,74-87cm; span 1.7-1.9m,"nasal, downward, piping whistle.",
86,Harriers,Spotted Harrier,Circus assimilis,50-60cm; span 1.2-1.45m,"usually silent, but near the nest gives a high pitched chipping sound, a ""see-ee""food call and a soft ""kitter-kitter-kitter "" between the pair.",
86,Harriers,Swamp Harrier,Circus approximans,50-60cm; span 1.2-1.5m,"occasionally a threatening, chattered ""kik-kik-kik"" in competition for food. In the breeding season, calls are given near the nest or while soaring high over the nest territory, a loud, brief, whistled ""ki-yoo"".",
86,Harriers,Papuan Harrier,Circus spilonotus,50-55cm; span 1.3-1.4m,"usually silent; a shrill ""whieeeuw"" has been recorded from captive birds.",
88,"Hovering Kites, Baza",Black-shouldered Kite,Elanus axillaris,35-38cm; span 80-95cm,"short, plaintive, worried, piping ""siep"", repeated regularly at intervals of about 5 sec; a drawn out, wheezy, husky or scraping ""scrair"" at intervals of 5-10 sec. Also a ""chek-chek-chek"" contact call and a sharp ""kik-kik-kik"" distress call, given aggressively when defending the nest.",
88,"Hovering Kites, Baza",Letter-winged Kite,Elanus scriptus,30-36cm; span 85-95cm,"sharp, clear, penetrating, whistled ""pseep"", like that of the Black-shouldered but louder. Also a harsh rasping, louder and more penetrating than from the Black-shouldered Kite, rather like a distant cockatoo screech.",
88,"Hovering Kites, Baza",Pacific Baza,Avicdea subcristata,35-45cm; span 0.8-1.1m,"quiet, unobtrusive and secretive in vicinity of nest, though reported to be noisy during nest-building. Calls during spectacular aerial display flights. In its undulating display the bird climbs with deep wing flapping, plunges downward with wings held in steep dihedral showing colour under wings; then swoops up to climb and repeats the whole sequence, all the while whistling loudly. This characteristic call is a distinctive, rising and falling, musical ""whiech-yoo, whiech-yoo, whiech-yoo""; the first part scratchy yet musical, rising strongly; the final ""yoo"" low and mellow. This call is repeated many times in succession, the calls a few seconds apart. Also a rather mellow and musical ""kaka-kaka-kak-a kak-ak-ak"", at times by both birds together, very rapid.",
90,Goshawks,Collared Sparrowhawk,Accipiter cirrhocephalus,30-40cm; span 55-80cm,"near nest and in display; a shrill, chattered ""ki-ki-ki-ki"" and a slower, piercing ""kwiek-kwiek-kwieek-"". Calls are similar to Brown Goshawk, but higher pitched, weaker, more rapid.",
90,Goshawks,Brown Goshawk,Accipiter fasciatus,40-50cm; span 75-95cm,"calls loudly in vicinity of nest when breeding, a high ""keek-keek-keek"", rising in pitch. Also a rapid, excited, descending ""kik-kik-ki-kikikik"" possibly in defence of nest site. At times uses a slow, drawn out ""ee-you-wick, ee-you-wick"", female deeper than male.",
90,Goshawks,Grey Goshawk,Accipiter novaehollandiae,40-55cm; span 70-110cm,"male a slow, high, piercing ""kieek-kieek-kieek-kieeek-"", 10-20 times; female's call similar but slower, a drawn out, mellow ""kuuwieek-kuuweik-kuuweik"".","Compares similar calls, one drawn out"
90,Goshawks,Red Goshawk,Eythrotriorchis radiatus,45-60cm; span 1.1-1.35m,"unlike other goshawks. Female has harsh, strident, crowing call, ""arhk, arhk, awk"", repeated for up to 30 min., especially the month before laying. Male's call higher, yelped but similar; various other noises.",
92,Falcons,Nankeen Kestrel,Falco cenchroides,30-35cm; span 60-80cm,"usually silent, but quite noisy in early breeding season. The sharp, high, almost metallic ""ki-ki-ki"" is used with many variations: territorial defence, displays, fighting, approaching nest with food: ranges from fast, shrill, chatter ""kikikikik-"" to slow ""kee-kee-kee"" and very slow, metallic, tapping ""kik, kik, kik"". Also has a drawn out, screaming, rising ""keeeiir, keeir"" at food exchange and copulation.",
92,Falcons,Australian Hobby,Falco longipennis,30-35cm; span 70-90cm,"sharp, harsh, metallic ""kiek-kiek-kiek-kiek-"", accelerating to ""kir-kie-kie-kie"" or ""kikikikikiki"" with greater anger or anguish. Given in territorial defence, or defnding nest, or by male approaching nest with food. Calls are similar to those of Kestrel, but more harsh and metallic; also similar to calls of Peregrine Falcon, but not as deep or powerful",acclerating versions
92,Falcons,Peregrine Falcon,Falco peregrinus,35-50cm; 85-100cm,"calls higher from male; deeper and very harsh from the larger female. Noisy in breeding season and when nest is approached with variations of the ""hek-hek"" or ""chek-chek"" call, depending on the excitement or agitation of the birds. This harsh but drawn out, loud ""kiek-kiek-kiek-kiek-"" or ""hiek-hiek-hiek"", about 2 or 3 per second when danger is close. Peregrines may swoop aggressively at intruders, and calls will become extremely loud, grating, harsh, staccato; much more rapid, about 5 per second, ""kek-kek-kek-""or ""hek-hek-hek-"" almost continuously; rises to a machine-gun-fire crescendo in diving attack, ""ekekekekekek-""; slows and fades as attacking birds circle and climb for another attack. Also quiet sounds between pair at nest, or female to young  --  frog-like croaks, plaintive ""chip-chip-"" and ""chirrup"" sounds.",
