EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Black-throated Blue Warbler,Setophaga caerulescens,Parulidae,Passeriformes,12,"Males and females give a flat  "" smack "" somewhat reminiscent of the Dark-eyed Junco's call. Males and occasionally females sing a slow-paced series of three to seven buzzy notes, with the last note slurred upward. Some say it sounds like they are saying  "" I am so lazzzy, ""  or  "" please, please, please squeeeeze. ""  They also sing a clearer version of this song with 5 rising and falling notes followed by a rising buzz. Males sing this song during the breeding season from perches in the lower to middle levels of the forest to attract mates. Another song type is 2-6 buzzy notes that rise in pitch at the end. Males often sing the second song type at territorial boundaries or during aggressive encounters. "
Black-throated Gray Warbler,Setophaga nigrescens,Parulidae,Passeriformes,12,"Males and females give a flat  "" chup "" .  Male Black-throated Gray Warblers sing a series of 5-9 buzzy notes; singing  "" zeedle zeedle zeedle zeet-chee "" ."
Black-throated Green Warbler,Setophaga virens,Parulidae,Passeriformes,11.5,"The most common call is a hoarse double chip. In flight, they give a high clear  "" see "" .  Like most warblers, male Black-throated Green Warblers sing two similar songs, one directed at males during territorial interactions, and the other at females. The former, also known as the 'unaccented song,' is a high, cheery-sounding buzz,  "" zee zee zo zo zee "" . The latter,  "" zee zee zee zee zo zee "" , is called the 'accented song' and is sung by males to attract and communicate with female birds."
Black-throated Sparrow,Amphispiza bilineata,Passerellidae,Passeriformes,13,"Black-throated Sparrows give a quiet twittering of jumbled notes that sound like tinkling bells; often during aggressive interactions between males. Females and males also give a high-pitched  "" tink "" .  Males sing a tinkling song from the tops of shrubs or while foraging on the ground. The song starts with two quiet opening notes, slides into a buzz, followed by 2 bell-like notes and a trill.  "
Black-whiskered Vireo,Vireo altiloquus,Vireonidae,Passeriformes,15.5,"Song a broken series of slurred notes, with distinct pauses between the notes. Each phrase usually ends in either a downslur or an upswing, as if the bird asks a question, then answers it, over and over. Call a catbird-like  "" myaah. ""  "
Blackburnian Warbler,Setophaga fusca,Parulidae,Passeriformes,11.5,"Call notes include a high, incisive  "" tseet "" , sometimes doubled, often heard from nesting birds. A thinner, high  "" tsip "" is often heard from migrants during the day. A similar flight call given by nocturnal migrants is a high, very short, sharp  "" tzip. "" The primary song of Blackburnian Warbler is a rapid  "" zip zip zip zip zip zip zip zip titititi tseeeeee "" , with the final note much higher pitched, and so high that many people cannot hear it. A secondary song, rendered  "" teetsa teetsa teetsa teetsa "" , is heard mostly when rival males encounter each other. "
Blackpoll Warbler,Setophaga striata,Parulidae,Passeriformes,14,"Male and females give a loud squeaking chip note. Male Blackpoll Warblers sing a short, high-pitched song made up of a series of staccato notes. The 3-second song gently fades in, increases in volume, and then fades back out. They sound almost like a tiny helicopter approaching and slowly passing,  "" tsit tsit TSIT TSIT tsit tsit "" . Males sing 5-12 notes per second and frequently sing at all hours of the day on the breeding grounds. They also sing a rapid trill song, in which each note blends into the next with less of a staccato sound."
Blue Grosbeak,Passerina caerulea,Cardinalidae,Passeriformes,15.5,"Blue Grosbeaks give loud, metallic  "" chink "" calls when disturbed. They also give low, buzzy   "" bzzt "" calls. The male sings a rich, musical warble continuously for 2 or 3 seconds."
Blue Jay,Cyanocitta cristata,Corvidae,Passeriformes,27.5,"Blue Jays make a large variety of calls. The most often heard is a loud  "" jeer "" , Also makes clear whistled notes and gurgling sounds. Blue Jays frequently mimic hawks, especially Red-shouldered Hawks. The Blue Jay vocalization most often considered a song is the 'whisper song,' a soft, quiet conglomeration of clicks, chucks, whirrs, whines, liquid notes, and elements of other calls; a singing bout may last longer than 2 minutes."
Blue-footed Booby,Sula nebouxii,Sulidae,Suliformes,81,"Blue-footed Boobies are seldom heard vocalizing at sea except when squabbling over prey, when they occasionally make guttural braying sounds. Nesting birds give whistling (males) and hoarse quacking (females, young) sounds.  "
Blue-gray Gnatcatcher,Polioptila caerulea,Polioptilidae,Passeriformes,10.5,"Both sexes use high-pitched, nasal calls. A sharp, mewing  "" zeee "" , or  "" chay "" contact call is uttered in bursts of 2 to 6 notes about a second apart. A two note  "" bee-beee "" version of this, with the first note slurred downward, seems to indicate mild agitation. Greater agitation provokes high pitched trills. They use a faster, louder, sharper version of the contact call in aggressive encounters. Mobbing calls are similar to these aggressive calls, but more urgent-sounding. Other calls include high-pitched whistles, a two-note hiccup used by the female during nest site selection, and isolated mimicry of other species. Males have two song types. The simpler is a variable series of 4 to 8 short, soft phrases. This is sung early in the nesting season and, once nesting has begun, shortly after sunrise and in territorial disputes. It may occasionally be sung on wintering grounds. More complex songs are sung from early morning to midday. These continuous jumbles of sharp chips, high-pitched whistles, and mewing notes are 10 seconds or more long and often include mimicked bits from the repertoires of jays, tanagers, towhees, vireos, warblers, sandpipers, and other species. Songs may be sung from elevated perches, while feeding, or while in motion."
Blue-headed Vireo,Vireo solitarius,Vireonidae,Passeriformes,13.5,"Fast, repeated scolding and alarm calls vary in intensity and duration but are the most frequent (and distinctive) vocalizations heard from migrants and wintering birds. By keying in on these calls, birders can often discover a mixed flock of birds. Vireos and other birds sometimes respond to imitations of this scolding call. Breeding Blue-headed Vireos also produce a remarkable variety of short calls as well as shrieks, trills, and a nasal  "" nyaa "" . The male sings a querulous song that can be rendered as  "" teeyay "" ,  "" tayah "" ,  "" taweeto "" ,  "" teeaytoay "" ,  "" toowip "" (or 'hear me, see me, hear I am'). The song is similar to several other large vireo songs, but a bit slower than Red-eyed, with each phrase separated by a second or so. "
Blue-throated Mountain-gem,Lampornis clemenciae,Trochilidae,Caprimulgiformes,11.5,"Males often give a clipped  "" chip  "" call, females less often and usually only when defending nest. During courtship, males give a very quiet 'whisper' song lasting up to 8 seconds in the presence of a female. Females respond with a similar song, often as the male is singing. Males' songs differ throughout the species' range and even from canyon to canyon. Males also mark territory for feeding with a long series of loud  "" tseep  "" calls, all on the same pitch, repeated every 1-2 seconds for long periods, usually from an elevated perch. They give this simple, monotonous song for much of the year but especially from March through August in the morning. It is common to be able to hear more than one singing male at a time."
Blue-winged Teal,Spatula discors,Anatidae,Anseriformes,38.5,"Male's call is a loud, high whistle or a nasal bleat. Female gives loud, evenly spaced quacks. "
Blue-winged Warbler,Vermivora cyanoptera,Parulidae,Passeriformes,11.5,"Males and females give a short, quiet  "" chip "" when alarmed or in flight. Females also  "" chip "" during nest building. Blue-winged Warblers sing a raspy  "" bee-buzz "" that sounds like an inhale ( "" bee "" ) and an exhale ( "" buzz "" ). Males also sing a longer high-pitched  "" buzz "" with twittering notes at the start and finish. The primary song acts to acquire a mate, while the secondary song acts to defend territories against rival males. They typically sing the primary song from exposed branches in tall trees or shrubs at the edge of fields and the alternate song from lower down."
Bluethroat,Luscinia svecica,Muscicapidae,Passeriformes,14,"Call a harsh  "" tacc, tacc ""  and a  "" hweet. ""  Song varied, with rich musical notes, hisses, trills, and mimicry of other birds."
Boat-tailed Grackle,Quiscalus major,Icteridae,Passeriformes,31.5,"Boat-tailed Grackles clack or scream at predators and approaching humans. The female makes a chattering call in the breeding season.  "" Chut "" calls are given by either sex before and during flight, and whimpering  "" cheat "" calls are given by amorous males. Boat-tailed Grackles have a variable song with harsh  "" jeeb-jeeb-jeeb "" notes and low-pitched guttural rolls. Both males and females sing, though females do so only rarely."
